spatial_weight_x,spatial_weight_y,contour_weight,min_pixels,top_components,sequence_accuracy,character_accuracy,total_images
7.985775569916307,0.4485261007457112,316.28258010365244,6,5,60.5,89.12879738890284,2000
1.089751666598229,0.9725728947351477,146.80927223282833,2,7,58.0,86.79387396434848,2000
0.6584746323682926,1.4717976673069673,376.65002942598517,1,10,61.45,88.91957485982091,2000
6.213066945314394,1.262141004927734,22.685195983492616,1,6,55.8,85.27073395263201,2000
4.05862361998103,0.18866476010586933,390.0270971597546,3,2,62.15,89.85689179010797,2000
6.222021492397565,0.8266777834076093,393.6277366065796,5,9,61.6,89.53887354590343,2000
6.83504463201902,0.9559485787421318,25.040685240749283,9,6,58.9,87.22905682483889,2000
3.9156233751451706,0.13033587921840697,107.73965373641664,3,7,57.65,86.65160264457276,2000
0.1,0.1,400.0,10,1,60.7,89.15390409239266,2000
4.087697385628411,0.15657741112308887,400.0,3,2,62.25,89.89036739476107,2000
10.0,2.0,400.0,3,1,55.25,87.58891957485982,2000
5.2917580998933635,0.1,400.0,10,10,61.85,89.61419365637292,2000
4.222596770187592,0.306878474378535,400.0,4,5,62.4,89.90710519708762,2000
4.289965052423965,0.3740869309630166,400.0,4,6,62.25,89.78994058080174,2000
4.63632561990058,0.10001870092700227,400.0,5,4,62.1,89.77320277847518,2000
3.1848136639922817,0.5580785215769561,400.0,3,10,61.85,89.50539794125031,2000
4.30683734872853,0.2756241099627286,400.0,4,5,62.3,89.89873629592435,2000
4.513550677946176,0.41736860543622845,400.0,5,1,60.6,89.32965101682149,2000
3.0936622681017263,0.1,400.0,2,3,62.5,89.72298937149553,2000
2.601497636713764,0.1,400.0,2,4,62.55,89.76483387731191,2000
2.0010504896537133,0.10222195987608768,400.0,3,4,62.25,89.63093145869948,2000
4.014499851879779,0.1,400.0,2,4,62.6,89.92384299941418,2000
6.313642930719575,0.13664930317143476,400.0,1,4,61.95,89.70625156916897,2000
0.1,1.3519612426035863,400.0,10,10,61.55,89.32128211565822,2000
3.9189580868495293,0.1,400.0,2,4,62.6,89.87362959243451,2000
10.0,0.1,400.0,10,10,59.3,88.86099255167797,2000
1.3508079220071996,0.1,400.0,10,10,61.9,89.44681563310738,2000
3.8122738389323434,0.1,400.0,2,4,62.5,89.78994058080174,2000
3.989342852394806,0.1,387.9823817658192,3,5,62.6,89.98242530755712,2000
4.0588467228011496,0.1,389.6626836488096,3,5,62.5,89.948949702904,2000
